service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
496,0,1,0,0,0,0,0,20230221,20230525
497,0,0,1,0,0,0,0,20230221,20230525
502,1,0,0,0,0,0,0,20230221,20230525
499,0,0,0,0,1,0,0,20230221,20230525
498,0,0,0,1,0,0,0,20230221,20230525
503,0,0,0,0,0,0,0,20230221,20230525
501,0,0,0,0,0,0,1,20230221,20230525
500,0,0,0,0,0,1,0,20230221,20230525
